"0",""
"0","# the q is the order (lags) of the moving average. (3 significant lines)"
"0","# the p is how many steps in the past we consider when estimating the next term (4 significant lines)"
"0",""
"0","model = arima(complete_df[,6], order = c(4, 0, 0)) # q is 0 because model generated through AR terms"
"0",""
"0","model"
"1","
Call:"
"1","
"
"1","arima(x = complete_df[, 6], order = c(4, 0, 0))"
"1","
"
"1",""
"1","
"
"1","Coefficients:
"
"1","    "
"1","     ar1"
"1","     ar2"
"1","      ar3"
"1","      ar4"
"1","  intercept"
"1","
    "
"1","  0.5476"
"1","  0.1955"
"1","  -0.0394"
"1","  -0.0097"
"1","     0.0138"
"1","
s.e."
"1","  0.0316"
"1","  0.0360"
"1","   0.0361"
"1","   0.0317"
"1","     0.1011"
"1","
"
"1","
sigma^2 estimated as "
"1",""
"1","0.9626"
"1",""
"1",":  log likelihood = "
"1",""
"1","-1400.2"
"1",""
"1",",  aic = "
"1",""
"1","2812.39"
"1",""
"1","
"
"0","prediction = forecast(model, h = 20, level = 80)"
"0"," # h and level can be anything"
"0",""
"0","autoplot(prediction)"
