,R-sq,Num_of_feat
0,0.9048170623625725,85.0
1,0.9065460797879905,84.0
2,0.906123574294057,83.0
3,0.9068365072371174,82.0
4,0.9068503858629123,81.0
5,0.907075705971244,80.0
6,0.9070927005753443,79.0
7,0.9074061600085401,78.0
8,0.9072950266148285,77.0
9,0.9075369719245427,76.0
10,0.908326491560168,75.0
11,0.9080131821540663,74.0
12,0.9082362795389766,73.0
13,0.9084567339284795,72.0
14,0.9091804440443474,71.0
15,0.9092338784714851,70.0
16,0.9090752699785855,69.0
17,0.9095134128290843,68.0
18,0.9093809951739564,67.0
19,0.9095851193799769,66.0
20,0.9094665194186164,65.0
21,0.9096595011525705,64.0
22,0.9094840109867606,63.0
23,0.9093995277649326,62.0
24,0.9097932173124548,61.0
25,0.9095112124921135,60.0
26,0.9099146745134732,59.0
27,0.909515932448629,58.0
28,0.9096486999612254,57.0
29,0.9095241640679954,56.0
30,0.9095764512472431,55.0
31,0.9098613986883489,54.0
32,0.9095510332274153,53.0
33,0.9095889885833441,52.0
34,0.9094116841374582,51.0
35,0.9094068895847722,50.0
36,0.9100004835973576,49.0
37,0.9097564387713629,48.0
38,0.9092223061624048,47.0
39,0.9092648629592586,46.0
40,0.9096881405497863,45.0
41,0.9094538079988939,44.0
42,0.9094003840192769,43.0
43,0.9091486901997663,42.0
44,0.9095133245066356,41.0
45,0.9095868221386174,40.0
46,0.909279978283989,39.0
47,0.9099115737533654,38.0
48,0.9095357229978658,37.0
49,0.909641186780362,36.0
50,0.9100725467072424,35.0
51,0.9095535626994588,34.0
52,0.9100312190298543,33.0
53,0.909314049490909,32.0
54,0.9098220285758218,31.0
55,0.9093324910175129,30.0
56,0.9115746691782185,29.0
57,0.9110210759283315,28.0
58,0.9108677903894676,27.0
59,0.9105072570122481,26.0
60,0.910594203899388,25.0
61,0.9097457730163597,24.0
62,0.9092224259284112,23.0
63,0.9086550605625248,22.0
64,0.9091607214484716,21.0
65,0.9081515090245195,20.0
66,0.9069757996870387,19.0
67,0.906444517392879,18.0
68,0.9062554713026776,17.0
69,0.9057700773838679,16.0
70,0.9048975101734666,15.0
71,0.9020430414576402,14.0
72,0.9010262768667069,13.0
73,0.9010251039840939,12.0
74,0.8988323785902261,11.0
75,0.8980168781221007,10.0
76,0.8950742203083305,9.0
77,0.8913703093443933,8.0
78,0.8905404923992118,7.0
79,0.8819790963354708,6.0
80,0.8820198447506634,5.0
81,0.8688288640161476,4.0
82,0.8484310841897396,3.0
83,0.7907841633461156,2.0
84,0.692854078461834,1.0
