,PID,Latitude,Longitude,SalePrice,Neighborhood,price_level,crime_rate,school_quality
0,909176150,42.01856448979592,-93.65161918367347,126000,SWISU,0,5,2
1,905476230,42.02485531593042,-93.66367099341757,139500,Edwards,0,9,4
2,911128020,42.021547615297024,-93.61406809992512,124900,IDOTRR,0,10,6
3,535377150,42.03739146938776,-93.6122069591837,114000,OldTown,0,10,5
4,534177230,42.04455376067282,-93.63181831620726,227000,NWAmes,1,9,6
5,908128060,42.018988,-93.6715721070941,198500,Edwards,0,9,4
6,902135020,42.031162,-93.61256091846626,93000,OldTown,0,10,5
7,528228540,42.063308,-93.64230583853364,187687,Blmngtn,0,5,10
8,923426010,41.98649573595674,-93.6036188257733,137500,Mitchel,0,7,6
9,908186050,42.01896368147449,-93.67006654263754,140000,Edwards,0,9,4
10,923426070,41.98649987838884,-93.60213991860323,136000,Mitchel,0,7,6
11,902204080,42.039218,-93.60968100000001,80000,OldTown,0,10,5
12,535105100,42.04690161396658,-93.61572103026556,159000,NAmes,0,9,5
13,907405020,42.01590809090909,-93.68765221212121,214000,CollgCr,1,9,3
14,531382110,42.035869413946436,-93.68920687419869,163000,SawyerW,0,5,2
15,906380120,42.02481975297594,-93.68911130789051,203000,CollgCr,1,9,3
16,909101060,42.02208247765018,-93.65692684113985,67000,Edwards,0,9,4
17,534152050,42.04331646337044,-93.63727919577093,205000,NWAmes,1,9,6
18,923252075,41.987527737373746,-93.60618059595959,131250,Mitchel,0,7,6
19,531376060,42.03717083511299,-93.69121204722514,181000,SawyerW,0,5,2
20,902201120,42.039218,-93.60968100000001,115000,OldTown,0,10,5
21,923228080,41.992155510707285,-93.6030863886634,98000,MeadowV,0,7,6
22,902326030,42.02935814285714,-93.61228857142856,265979,OldTown,1,10,5
23,527451330,42.051676299375686,-93.62760442259348,105500,BrDale,0,9,6
24,528218100,42.062191904710154,-93.64570992596713,168165,Gilbert,0,5,10
25,916386140,41.99493120945785,-93.650374,201000,Timber,1,7,6
26,533221090,42.046150735023375,-93.6457721435571,177500,Somerst,0,4,7
27,534128010,42.04903420384354,-93.63264578650906,200000,NWAmes,0,9,6
28,528106110,42.06129117942748,-93.65753648637377,450000,NridgHt,2,5,10
29,902206260,42.03109366137247,-93.61045453926472,91300,OldTown,0,10,5
30,528222090,42.06322648533865,-93.64433362330247,173500,Gilbert,0,5,10
31,528218150,42.06188691068189,-93.64448387960195,199500,Gilbert,0,5,10
32,903400180,42.02954372815348,-93.62737676136398,207000,BrkSide,1,10,5
33,535453210,42.037273779743664,-93.60675880919581,155000,NAmes,0,9,5
34,916386010,41.99523381632653,-93.64923497959185,220000,Timber,1,7,6
35,907181090,42.01733554053509,-93.69270120197213,196000,CollgCr,0,9,3
36,902206020,42.031950163265314,-93.61018020408164,61500,OldTown,0,10,5
37,527327050,42.05450581967213,-93.63156011475408,195000,NWAmes,0,9,6
38,527455250,42.048851159119046,-93.6253976305988,129250,NAmes,0,9,5
39,528326110,42.05578479212245,-93.65110150218392,291000,NoRidge,1,4,7
40,914452190,41.994199023809536,-93.60742948809522,134000,Mitchel,0,7,6
41,535425060,42.04129604081633,-93.60521567346942,186000,NAmes,0,9,5
42,532376250,42.03586157142858,-93.672579,133500,Sawyer,0,5,2
43,535379110,42.03594679591837,-93.61386489795919,148000,OldTown,0,10,5
44,528118010,42.060428734693865,-93.65768375510204,325300,NridgHt,1,5,10
45,528235160,42.05971268357939,-93.64377151492386,215000,Gilbert,1,5,10
46,905478030,42.02486103224607,-93.66069363575487,131000,Edwards,0,9,4
47,902106130,42.03146246938776,-93.6202082244898,109500,OldTown,0,10,5
48,902102080,42.03339248979592,-93.61561781632652,110000,OldTown,0,10,5
49,909176170,42.018691020408156,-93.65162163265306,150000,SWISU,0,5,2
50,533206070,42.047440452866546,-93.64761628687972,193800,Somerst,0,4,7
51,527302020,42.055470190860426,-93.63783989426828,178000,NWAmes,0,9,6
52,907414060,42.01355127272728,-93.68477896969698,179600,CollgCr,0,9,3
53,904301060,42.02811888524044,-93.65873733322219,179000,Edwards,0,9,4
54,532479020,42.034612217391306,-93.660487,140000,Sawyer,0,5,2
55,528110070,42.06226109103388,-93.6561853650665,395000,NridgHt,1,5,10
56,534429130,42.04013450915821,-93.62208412387304,151500,NAmes,0,9,5
57,528365060,42.049582,-93.655958,341000,NoRidge,1,4,7
58,533135020,42.04729657142857,-93.65029642857141,235000,NoRidge,1,4,7
59,910203100,42.020317999999996,-93.628408,72000,IDOTRR,0,10,6
60,905451390,42.0245466193626,-93.66738084341769,154000,Edwards,0,9,4
61,533213010,42.047427363923276,-93.6475996487335,222000,Somerst,1,4,7
62,528118030,42.06042781632653,-93.6575430612245,390000,NridgHt,1,5,10
63,907200340,42.021390115667074,-93.68792039017748,128200,CollgCr,0,9,3
64,528164060,42.058475047048844,-93.65680995634683,615000,NridgHt,2,5,10
65,907202010,42.019679540964866,-93.68657648378273,158000,CollgCr,0,9,3
66,909250060,42.01908434693877,-93.64689269387756,169000,SWISU,0,5,2
67,528315060,42.05392142671923,-93.65478466554771,284500,NoRidge,1,4,7
68,528231020,42.06011711190303,-93.64407676418915,184500,Gilbert,0,5,10
69,528456230,42.05118981781087,-93.64722440955204,210400,Somerst,1,4,7
70,907180120,42.01751131982996,-93.69065122622848,214000,CollgCr,1,9,3
71,911370410,42.009410670781776,-93.6155758230605,392500,Crawfor,1,5,2
