,R2,features
0,0.8606331643540199,82
1,0.9367635927894723,81
2,0.9338768330442683,80
3,0.9347648906138839,79
4,0.9360968052053086,78
5,0.9352323094543941,77
6,0.9353893134499738,76
7,0.9359810826396764,75
8,0.9347149730811496,74
9,0.934343431834005,73
10,0.9365086900401177,72
11,0.9378327161131215,71
12,0.9348408804755686,70
13,0.937513128710636,69
14,0.9353498272075108,68
15,0.9367999859735847,67
16,0.9363320669397885,66
17,0.9343708542161031,65
18,0.9364558012432181,64
19,0.939178875432987,63
20,0.9387882808598833,62
21,0.9396234706492623,61
22,0.9386707909057834,60
23,0.9387493431083094,59
24,0.9400088174230432,58
25,0.9384942886087349,57
26,0.9414334699571948,56
27,0.9391893033912674,55
28,0.9407593789671421,54
29,0.9388753878244958,53
30,0.9391531748176623,52
31,0.9346961560462677,51
32,0.9369064311979526,50
33,0.9364713642177789,49
34,0.9375515741644762,48
35,0.9356189662803434,47
36,0.9332037875378817,46
37,0.9342872318556551,45
38,0.9356767768004772,44
39,0.9363456213073892,43
40,0.9372438188637957,42
41,0.9349576899048625,41
42,0.9379765306545846,40
43,0.9349955421332241,39
44,0.9380247821002272,38
45,0.93595810348715,37
46,0.9368395395233441,36
47,0.9363028017095668,35
48,0.9328922480903398,34
49,0.9353705555610267,33
50,0.9345078668914726,32
51,0.9359380267746237,31
52,0.9323442363938499,30
53,0.9332644144608986,29
54,0.931122798437604,28
55,0.9319840972210152,27
56,0.9261108961749335,26
57,0.9246138594462521,25
58,0.9223700642393801,24
59,0.9233746083517858,23
60,0.9202489243484514,22
61,0.9210796026972172,21
62,0.9213270930061426,20
63,0.922531354949176,19
64,0.9185455555762516,18
65,0.9167563551473371,17
66,0.9128733896382342,16
67,0.9151623009737536,15
68,0.9101802847492454,14
69,0.9018656906063918,13
70,0.9069992668428284,12
71,0.9040419288148208,11
72,0.9043261463097848,10
73,0.9011753441300011,9
74,0.8942517007021284,8
75,0.8790920556360545,7
76,0.8816108136616504,6
77,0.852897412521927,5
78,0.8087970780687932,4
79,0.7531726267549353,3
80,0.6677879571342262,2
81,0.6928236003332274,1
