,R-sq,Num_of_feat
0,0.9055530704322243,85.0
1,0.9044965120886964,84.0
2,0.906393030974531,83.0
3,0.908493853708563,82.0
4,0.9075234314231106,81.0
5,0.9056133460616267,80.0
6,0.9062624636274342,79.0
7,0.9088314925366473,78.0
8,0.9103221937644028,77.0
9,0.9084314816857835,76.0
10,0.9077840580713405,75.0
11,0.9097842152593716,74.0
12,0.910353554395166,73.0
13,0.9111287946304365,72.0
14,0.9098047197428565,71.0
15,0.9090710359124666,70.0
16,0.9087542765989713,69.0
17,0.909352766238067,68.0
18,0.909585917113541,67.0
19,0.9094987223677116,66.0
20,0.9094147601489843,65.0
21,0.9085643387399511,64.0
22,0.910672702287158,63.0
23,0.909992054883487,62.0
24,0.9089407288479681,61.0
25,0.9098436440585771,60.0
26,0.9100975899532113,59.0
27,0.9104263643511964,58.0
28,0.9095979996535793,57.0
29,0.909035321490044,56.0
30,0.9093799982349465,55.0
31,0.9097740205809329,54.0
32,0.9103594687175215,53.0
33,0.9097198852272114,52.0
34,0.9106602384788033,51.0
35,0.9106500065411394,50.0
36,0.9087789621663697,49.0
37,0.9073069400068958,48.0
38,0.9074932987281015,47.0
39,0.910277131101258,46.0
40,0.9098927426727743,45.0
41,0.9094295443757517,44.0
42,0.9092023172692749,43.0
43,0.9085100174783172,42.0
44,0.9105237600517778,41.0
45,0.9120416743206687,40.0
46,0.9094301996145379,39.0
47,0.9098769658619135,38.0
48,0.9086298954343391,37.0
49,0.9104237730306094,36.0
50,0.9102070822632399,35.0
51,0.9104012181401206,34.0
52,0.9103658459433872,33.0
53,0.9106437168321829,32.0
54,0.9103816904206337,31.0
55,0.9102678994798196,30.0
56,0.9102475957189903,29.0
57,0.9126431014937696,28.0
58,0.9118686136026092,27.0
59,0.9115428258395278,26.0
60,0.9103953856213375,25.0
61,0.9108954610212421,24.0
62,0.908855934598168,23.0
63,0.9098203532705007,22.0
64,0.9077142150921652,21.0
65,0.907486308741583,20.0
66,0.9083533555990062,19.0
67,0.9072183726070533,18.0
68,0.906482252720617,17.0
69,0.9043288278458248,16.0
70,0.9058668793442072,15.0
71,0.903367051212476,14.0
72,0.9003698592290361,13.0
73,0.9018595558974969,12.0
74,0.899074400421096,11.0
75,0.8994464131898823,10.0
76,0.8962371900258235,9.0
77,0.8945193639556639,8.0
78,0.8912885345643424,7.0
79,0.8827296933995946,6.0
80,0.8831776853730536,5.0
81,0.8673050165186577,4.0
82,0.8482950543097577,3.0
83,0.7923680007319021,2.0
84,0.6928254237016942,1.0
