PID,Prop_Addr,location,Latitude,Longitude
909176150,"436 HAYWARD AVE, Ames, USA","436, Hayward Avenue, Union Drive, Ames, Story County, Iowa, 50014, United States",42.01856448979592,-93.65161918367347
905476230,"3416 WEST ST, Ames, USA","3416, West Street, Union Drive, Ames, Story County, Iowa, 50014, United States",42.024855315930424,-93.66367099341755
911128020,"320 S 2ND ST, Ames, USA","320, South 2nd Street, Ames, Story County, Iowa, 50010, United States",42.021547615297024,-93.61406809992513
535377150,"1524 DOUGLAS AVE, Ames, USA","1524, Douglas Avenue, Edgewood Park, Ames, Story County, Iowa, 50010, United States",42.03739146938776,-93.61220695918368
534177230,"2304 FILLMORE AVE, Ames, USA","2304, Fillmore Avenue, Allenview, Ames, Story County, Iowa, 50010, United States",42.04455376067282,-93.63181831620726
908128060,"4003 MARIGOLD DR, Ames, USA","4003, Marigold Drive, South Forks, Ames, Story County, Iowa, 50014, United States",42.018988,-93.6715721070941
902135020,"212 10TH ST 210, Ames, USA","212, 10th Street, Ames, Story County, Iowa, 50010, United States",42.031162,-93.61256091846626
528228540,"2431 LAKESIDE DR, Ames, USA","2431, Lakeside Drive, Bloomington Heights West Townhomes, Ames, Story County, Iowa, 50010, United States",42.063308,-93.64230583853364
923426010,"602 KEN MARIL RD, Ames, USA","602, Ken Maril Road, Ames, Story County, Iowa, 50010, United States",41.986495735956744,-93.6036188257733
908186050,"3901 MARIGOLD DR, Ames, USA","3901, Marigold Drive, South Forks, Ames, Story County, Iowa, 50014, United States",42.018963681474496,-93.67006654263754
528186170,"3629 CHILTON AVE, Ames, USA",,,
923426070,"700 KEN MARIL RD, Ames, USA","700, Ken Maril Road, Ames, Story County, Iowa, 50010, United States",41.98649987838884,-93.60213991860324
902204080,"1102 CARROLL AVE, Ames, USA","Carroll Avenue, Edgewood Terrace, Ames, Story County, Iowa, 50010, United States",42.039218,-93.609681
535105100,"2519 KELLOGG AVE, Ames, USA","2519, Kellogg Avenue, Broadmoor, Ames, Story County, Iowa, 50010, United States",42.04690161396658,-93.61572103026556
907405020,"812 TENNYSON AVE, Ames, USA","812, Tennyson Avenue, Longview, Ames, Story County, Iowa, 50014, United States",42.01590809090909,-93.68765221212121
531382110,"5220 MARYLAND ST, Ames, USA","5220, Maryland Street, Brookview Place, Ontario, Ames, Story County, Iowa, 50014, United States",42.03586941394644,-93.68920687419867
906380120,"319 HARTFORD DR, Ames, USA","319, Hartford Drive, Sunset Ridge, Ames, Story County, Iowa, 50014, United States",42.02481975297594,-93.68911130789053
909101060,"2910 WOOD ST, Ames, USA","2910, Wood Street, Union Drive, Ames, Story County, Iowa, 50014, United States",42.02208247765018,-93.65692684113985
534152050,"2102 PRAIRIE VIEW EAST, Ames, USA","2102, Prairie View East, Prairie View, Ames, Story County, Iowa, 50010, United States",42.04331646337044,-93.63727919577093
923252075,"424 TEAGARDEN DR, Ames, USA","424, Teagarden Drive, Ames, Story County, Iowa, 50010, United States",41.98752773737374,-93.60618059595959
531376060,"1514 CALIFORNIA AVE, Ames, USA","1514, California Avenue, Brookview Place, Ames, Story County, Iowa, 50014, United States",42.03717083511299,-93.69121204722514
902201120,"1216 CARROLL AVE, Ames, USA","Carroll Avenue, Edgewood Terrace, Ames, Story County, Iowa, 50010, United States",42.039218,-93.609681
923228080,"626 MEADOW PL, Ames, USA","626, Meadow Place, Ames, Story County, Iowa, 50010, United States",41.99215551070729,-93.60308638866339
902326030,"829 DOUGLAS AVE, Ames, USA","829, Douglas Avenue, Historic Old Town, Ames, Story County, Iowa, 50010, United States",42.02935814285714,-93.61228857142856
527451330,"1342 BARKLEY CT, Ames, USA","1342, Barkley Court, Briardale Square, Ames, Story County, Iowa, 50010, United States",42.051676299375686,-93.62760442259349
528218100,"4205 CRESTMOOR AVE, Ames, USA","4205, Crestmoor Avenue, Bloomington Heights West, Ames, Story County, Iowa, 50010, United States",42.062191904710154,-93.64570992596711
916386140,"3028 COTTONTAIL LN, Ames, USA","3028, Cottontail Lane, Ringgenberg Park, Ames, Story County, Iowa, 50014, United States",41.994931209457846,-93.650374
533221090,"2711 HAMPTON ST, Ames, USA","2711, Hampton Street, Somerset, Ames, Story County, Iowa, 50010, United States",42.046150735023375,-93.6457721435571
534128010,"1636 JOHNSON ST, Ames, USA","1636, Johnson Street, Parkview Heights;, Ames, Story County, Iowa, 50010, United States",42.04903420384354,-93.63264578650906
528106110,"3331 WESTON DR, Ames, USA","3331, Weston Drive, Northridge Heights, Ames, Story County, Iowa, 50010, United States",42.06129117942748,-93.65753648637376
902206260,"926 DUFF AVE, Ames, USA","926, Duff Avenue, Ames, Story County, Iowa, 50010, United States",42.03109366137248,-93.61045453926471
