"0","WWWusage"
"1","Time Series:
Start ="
"1"," "
"1","1"
"1"," "
"1","
End ="
"1"," "
"1","100"
"1"," "
"1","
Frequency ="
"1"," "
"1","1"
"1"," "
"1","
"
"1","  [1]"
"1","  88"
"1","  84"
"1","  85"
"1","  85"
"1","  84"
"1","  85"
"1","  83"
"1","  85"
"1","  88"
"1","  89"
"1","  91"
"1","  99"
"1"," 104"
"1"," 112"
"1"," 126"
"1"," 138"
"1"," 146"
"1"," 151"
"1"," 150"
"1"," 148"
"1"," 147"
"1"," 149"
"1","
"
"1"," [23]"
"1"," 143"
"1"," 132"
"1"," 131"
"1"," 139"
"1"," 147"
"1"," 150"
"1"," 148"
"1"," 145"
"1"," 140"
"1"," 134"
"1"," 131"
"1"," 131"
"1"," 129"
"1"," 126"
"1"," 126"
"1"," 132"
"1"," 137"
"1"," 140"
"1"," 142"
"1"," 150"
"1"," 159"
"1"," 167"
"1","
"
"1"," [45]"
"1"," 170"
"1"," 171"
"1"," 172"
"1"," 172"
"1"," 174"
"1"," 175"
"1"," 172"
"1"," 172"
"1"," 174"
"1"," 174"
"1"," 169"
"1"," 165"
"1"," 156"
"1"," 142"
"1"," 131"
"1"," 121"
"1"," 112"
"1"," 104"
"1"," 102"
"1","  99"
"1","  99"
"1","  95"
"1","
"
"1"," [67]"
"1","  88"
"1","  84"
"1","  84"
"1","  87"
"1","  89"
"1","  88"
"1","  85"
"1","  86"
"1","  89"
"1","  91"
"1","  91"
"1","  94"
"1"," 101"
"1"," 110"
"1"," 121"
"1"," 135"
"1"," 145"
"1"," 149"
"1"," 156"
"1"," 165"
"1"," 171"
"1"," 175"
"1","
"
"1"," [89]"
"1"," 177"
"1"," 182"
"1"," 193"
"1"," 204"
"1"," 208"
"1"," 210"
"1"," 215"
"1"," 222"
"1"," 228"
"1"," 226"
"1"," 222"
"1"," 220"
"1","
"
"0","plot.ts(WWWusage)"
