"0",""
"0","acf2(ar2, main = ""AR(2) Model with phi1 = 0.7, phi2 = 0.2"")"
"1","    "
"1"," [,1]"
"1"," [,2]"
"1"," [,3]"
"1"," [,4]"
"1"," [,5]"
"1"," [,6]"
"1","  [,7]"
"1"," [,8]"
"1","  [,9]"
"1"," [,10]"
"1"," [,11]"
"1"," [,12]"
"1"," [,13]"
"1"," [,14]"
"1"," [,15]"
"1","
ACF "
"1"," 0.89"
"1"," 0.82"
"1"," 0.76"
"1"," 0.70"
"1"," 0.66"
"1"," 0.64"
"1","  0.60"
"1"," 0.58"
"1","  0.54"
"1","  0.52"
"1","  0.50"
"1","  0.47"
"1","  0.45"
"1","  0.43"
"1","  0.41"
"1","
PACF"
"1"," 0.89"
"1"," 0.14"
"1"," 0.02"
"1"," 0.03"
"1"," 0.06"
"1"," 0.08"
"1"," -0.03"
"1"," 0.06"
"1"," -0.04"
"1","  0.04"
"1","  0.02"
"1"," -0.07"
"1","  0.07"
"1"," -0.02"
"1","  0.00"
"1","
"
"1","    "
"1"," [,16]"
"1"," [,17]"
"1"," [,18]"
"1"," [,19]"
"1"," [,20]"
"1"," [,21]"
"1"," [,22]"
"1"," [,23]"
"1"," [,24]"
"1"," [,25]"
"1"," [,26]"
"1"," [,27]"
"1"," [,28]"
"1"," [,29]"
"1","
ACF "
"1","  0.39"
"1","  0.37"
"1","  0.35"
"1","  0.33"
"1","  0.32"
"1","  0.31"
"1","   0.3"
"1","  0.29"
"1","  0.28"
"1","  0.27"
"1","  0.26"
"1","  0.25"
"1","  0.24"
"1","  0.23"
"1","
PACF"
"1"," -0.01"
"1"," -0.03"
"1","  0.01"
"1","  0.00"
"1","  0.04"
"1","  0.01"
"1","   0.0"
"1","  0.01"
"1","  0.03"
"1"," -0.02"
"1"," -0.01"
"1","  0.02"
"1"," -0.02"
"1"," -0.02"
"1","
"
"1","    "
"1"," [,30]"
"1"," [,31]"
"1"," [,32]"
"1"," [,33]"
"1"," [,34]"
"1"," [,35]"
"1"," [,36]"
"1"," [,37]"
"1"," [,38]"
"1"," [,39]"
"1"," [,40]"
"1"," [,41]"
"1"," [,42]"
"1","
ACF "
"1","  0.21"
"1","  0.20"
"1","  0.19"
"1","  0.18"
"1","  0.17"
"1","  0.16"
"1","  0.15"
"1","  0.14"
"1","  0.13"
"1","  0.11"
"1","  0.10"
"1","  0.08"
"1","  0.08"
"1","
PACF"
"1"," -0.04"
"1","  0.02"
"1","  0.01"
"1","  0.00"
"1"," -0.03"
"1"," -0.04"
"1","  0.05"
"1"," -0.03"
"1","  0.00"
"1"," -0.04"
"1"," -0.01"
"1","  0.01"
"1","  0.04"
"1","
"
